# --------------------------------------------------------------------------------------------------
# 
# Program :	A4-mpi-manual 
# where :	.dat contains timing data & .txt contains matrix values 
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/manual 	Inf Norm/manual 	Time/dgemm 	Inf Norm/dgemm 
# 
50 	0.001339 	1625625.0 	0.000280 	1625625.0 
50 	0.001196 	1625625.0 	0.000549 	1625625.0 
50 	0.001221 	1625625.0 	0.000327 	1625625.0 
50 	0.001198 	1625625.0 	0.000275 	1625625.0 
50 	0.001192 	1625625.0 	0.000275 	1625625.0 
50 	0.001198 	1625625.0 	0.000273 	1625625.0 
100 	0.009352 	25502500.0 	0.001989 	25502500.0 
100 	0.010935 	25502500.0 	0.002078 	25502500.0 
100 	0.009532 	25502500.0 	0.002036 	25502500.0 
100 	0.009452 	25502500.0 	0.003692 	25502500.0 
100 	0.009453 	25502500.0 	0.002046 	25502500.0 
100 	0.009330 	25502500.0 	0.002878 	25502500.0 
