# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.003392 	89502.0 	0.000284 	89502.0 	0.001266 	89502.0
50 	0.003450 	89502.0 	0.000285 	89502.0 	0.001228 	89502.0
50 	0.003227 	89502.0 	0.000289 	89502.0 	0.001234 	89502.0
50 	0.003526 	89502.0 	0.000286 	89502.0 	0.001235 	89502.0
50 	0.003154 	89502.0 	0.000286 	89502.0 	0.001231 	89502.0
50 	0.003247 	89502.0 	0.000293 	89502.0 	0.001258 	89502.0
100 	0.017802 	353266.0 	0.002062 	353266.0 	0.009515 	353266.0
100 	0.018403 	353266.0 	0.002130 	353266.0 	0.009852 	353266.0
100 	0.019895 	353266.0 	0.002405 	353266.0 	0.010686 	353266.0
100 	0.019114 	353266.0 	0.002475 	353266.0 	0.010289 	353266.0
100 	0.019182 	353266.0 	0.002044 	353266.0 	0.009500 	353266.0
100 	0.017434 	353266.0 	0.002044 	353266.0 	0.010240 	353266.0
