# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.003602 	1625625.0 	0.000284 	1625625.0 	0.001235 	1625625.0
50 	0.003732 	1625625.0 	0.000292 	1625625.0 	0.001267 	1625625.0
50 	0.003618 	1625625.0 	0.000298 	1625625.0 	0.001206 	1625625.0
50 	0.003685 	1625625.0 	0.000284 	1625625.0 	0.001413 	1625625.0
50 	0.003320 	1625625.0 	0.000291 	1625625.0 	0.001307 	1625625.0
50 	0.003635 	1625625.0 	0.000306 	1625625.0 	0.001214 	1625625.0
100 	0.019787 	25502500.0 	0.002165 	25502500.0 	0.009916 	25502500.0
100 	0.019724 	25502500.0 	0.002610 	25502500.0 	0.009465 	25502500.0
100 	0.018439 	25502500.0 	0.002037 	25502500.0 	0.009821 	25502500.0
100 	0.018494 	25502500.0 	0.002125 	25502500.0 	0.010103 	25502500.0
100 	0.018573 	25502500.0 	0.002042 	25502500.0 	0.009436 	25502500.0
100 	0.018571 	25502500.0 	0.002355 	25502500.0 	0.009768 	25502500.0
