# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.003295 	89502.0 	0.000282 	89502.0 	0.001214 	89502.0
50 	0.003377 	89502.0 	0.000293 	89502.0 	0.001245 	89502.0
50 	0.003426 	89502.0 	0.000289 	89502.0 	0.001233 	89502.0
100 	0.018321 	353266.0 	0.002047 	353266.0 	0.009422 	353266.0
100 	0.023710 	353266.0 	0.002265 	353266.0 	0.009528 	353266.0
100 	0.018545 	353266.0 	0.002035 	353266.0 	0.009973 	353266.0
500 	3.974433 	8117937.0 	0.852176 	8117937.0 	3.526722 	8117937.0
500 	3.781977 	8117937.0 	0.901864 	8117937.0 	3.478443 	8117937.0
500 	3.660107 	8117937.0 	0.813615 	8117937.0 	3.387792 	8117937.0
500 	3.669998 	8117937.0 	0.826524 	8117937.0 	3.432746 	8117937.0
1000 	25.021923 	31896067.0 	6.877664 	31896067.0 	23.402237 	31896067.0
1000 	25.668985 	31896067.0 	6.845725 	31896067.0 	24.111009 	31896067.0
1000 	25.339146 	31896067.0 	7.069291 	31896067.0 	24.148800 	31896067.0
1000 	25.378952 	31896067.0 	6.827083 	31896067.0 	24.631762 	31896067.0
