# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.003623 	89502.0 	0.000283 	89502.0 	0.001390 	89502.0
50 	0.003733 	89502.0 	0.000285 	89502.0 	0.001273 	89502.0
50 	0.003172 	89502.0 	0.000282 	89502.0 	0.001216 	89502.0
50 	0.003412 	89502.0 	0.000290 	89502.0 	0.001217 	89502.0
50 	0.003678 	89502.0 	0.000287 	89502.0 	0.001214 	89502.0
50 	0.003299 	89502.0 	0.000295 	89502.0 	0.001214 	89502.0
100 	0.018782 	353266.0 	0.002029 	353266.0 	0.009716 	353266.0
100 	0.018608 	353266.0 	0.002060 	353266.0 	0.009452 	353266.0
100 	0.017310 	353266.0 	0.002612 	353266.0 	0.009707 	353266.0
100 	0.018808 	353266.0 	0.002283 	353266.0 	0.010504 	353266.0
100 	0.020819 	353266.0 	0.002188 	353266.0 	0.010953 	353266.0
100 	0.029216 	353266.0 	0.002254 	353266.0 	0.020780 	353266.0
