# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.003793 	89502.0 	0.000300 	89502.0 	0.001219 	89502.0
50 	0.003746 	89502.0 	0.000614 	89502.0 	0.001306 	89502.0
50 	0.003574 	89502.0 	0.000284 	89502.0 	0.001208 	89502.0
100 	0.019365 	353266.0 	0.002036 	353266.0 	0.009537 	353266.0
100 	0.022317 	353266.0 	0.002033 	353266.0 	0.009473 	353266.0
100 	0.018096 	353266.0 	0.002620 	353266.0 	0.015792 	353266.0
500 	3.794989 	8117937.0 	0.823255 	8117937.0 	4.208720 	8117937.0
500 	3.594502 	8117937.0 	0.872222 	8117937.0 	3.590184 	8117937.0
500 	3.834893 	8117937.0 	0.837537 	8117937.0 	3.589217 	8117937.0
500 	3.588232 	8117937.0 	0.815256 	8117937.0 	3.826735 	8117937.0
1000 	23.135391 	31896067.0 	6.489187 	31896067.0 	22.191726 	31896067.0
1000 	23.256875 	31896067.0 	6.380877 	31896067.0 	22.198515 	31896067.0
1000 	23.812851 	31896067.0 	6.490945 	31896067.0 	22.314222 	31896067.0
1000 	23.409070 	31896067.0 	6.580239 	31896067.0 	22.907298 	31896067.0
